avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctOtherRace,PctMarriedHouseholds,BirthRate
107,51,265.8,547.8,24265,17878,47,38.8,37.2,40.4,2.56,47.4,19,48.9,40.5,3.2,30.4,19,42.5,24.1,20.1,57.2,39.1,90.75051386,5.988556191,0.688850619,51.10721682,1.549958483
42,17,199.1,491.8,26408,7507,38.5,34.8,33.4,37.5,2.81,26.3,15.9,34.5,36.4,6.6,30.9,15.9,43,32.7,28,52.2,33.4,13.93356182,85.94779858,1.983523004,25.54027505,4.610130905
53,28,182.2,369.6,32826,8473,23.9,47.8,46.8,48.5,2.93,44.3,17.2,58.9,42.9,7.1,31.2,16.3,43.9,23.2,15,47.4,25.6,74.58309373,22.23116734,0.667050029,48.0222068,5.389980977
61,29,194.4,402.4,37644,13820,29,37.5,36.3,41.3,2.43,37.2,29.3,47.9,48,6.5,31.2,14.2,50.4,36.8,32.1,46.4,30.1,66.56947803,31.06954914,1.479163704,49.38118812,8.022922636
47,22,182.5,395.4,41624,8575,15.8,43.6,39.3,49,2.14,41.1,28.8,51,44.1,8.8,31.6,8.1,69.8,47.4,43.1,43.2,17.3,73.77445339,18.49252014,0.115074799,48.11701412,4.516129032
131,59,266.2,572.1,25215,21013,38.2,39.1,37.1,41.4,2.53,48.2,30.4,35.1,36.9,5.3,31.6,15.9,39.7,46.2,26.4,57.3,41.9,93.37558685,3.915492958,0.643192488,47.61904762,7.638737758
73,35,167.3,345.6,29782,21903,38.8,32.3,30.8,35.2,3.51,44.3,24.7,49,35.5,6.4,31.7,11.5,27.2,20.7,18.8,45.3,34.1,94.7913826,1.649850014,2.854285974,52.81829642,4.799131379
76,36,262.7,558.3,27777,10711,33,42,40.6,42.8,2.59,49.5,23.4,51.5,33.8,5.3,31.7,17,46.5,48,32.5,51.5,33.4,98.57233791,0.682004183,0.500136401,48.69879518,3.237555645
31,16,263.1,493.7,23047,4461,45.1,43,42.6,43.9,2.56,52.7,33,35.9,34.6,8.5,31.8,8.8,35.9,26.6,21.9,59.3,41.4,96.07885615,1.083188908,0.173310225,42.63959391,4.527559055
25,10,134.3,359,27627,4596,24.2,42.6,44,42.6,2.81,41.2,12.8,10.6,35.6,6.8,31.9,5.4,27.8,16.8,14.3,62.7,46.6,63.64806867,0.128755365,35.57939914,43.34945586,1.084812623
41,20,250.7,512.7,25402,7307,43,33.3,32.1,36.8,2.26,28.1,39.7,47,38.5,6.6,32,19.2,36.3,26.1,22.5,51.1,36.3,28.74283429,69.71070524,0.15997867,28.8648245,4.305555556
70,32,221.7,500.5,24035,11059,33.7,40.2,37.5,42.2,2.86,33.2,23.5,43,41.3,8.1,32.1,20.8,41.2,27.8,24.3,54.8,35,27.35202492,72.02492212,0.587449933,34.60837887,4.996127033
123,54,169.9,365.7,49995,31345,19.4,37,34.7,44.2,2.24,43.5,32,34,28.8,8.1,32.2,10.9,66.6,49.6,45,38.6,20.3,74.88129882,8.543421657,7.802113647,51.50922015,7.549668874
43,18,175.9,432.6,26083,9150,42.6,32.7,30.7,33.6,2.74,26.2,9.9,33,29.8,8.5,32.3,17.5,37.9,26.6,23.5,52.9,36.7,13.6227224,84.86602358,0.182207931,25.50125313,5.663430421
61,31,159.8,326.4,29244,16400,33.7,40.3,39.2,43.4,2.37,40.1,33.2,50.9,49.3,5.4,32.4,4.4,41.8,33.3,29.9,46,32.8,57.87646199,40.36306043,1.169590643,44.56418983,2.772573998
32,16,163.8,343.2,30556,7648,32.4,41.7,40.7,44.7,2.44,46.8,21.8,34.8,42,4.4,32.4,6.2,48.5,35.4,33.2,51,34.7,97.08737864,2.446601942,0.258899676,49.16363636,7.352941176
22,7,110.7,389.1,32570,5562,40.5,35.5,38.6,30.1,3.78,30.9,17.3,31.6,39.1,7.8,32.7,27,44.7,33.8,27.2,52.9,37.2,84.03891191,5.260313457,5.854800937,47.21984602,10.31111111
26,11,147.4,372.9,41248,5557,18.3,37.8,35.8,44,2.24,41,19.5,47.4,42.2,11.6,32.8,6.3,64.2,48.4,39.7,43.4,25.9,84.51989777,11.15370573,0.912741877,51.28205128,5.208333333
49,21,195,451.7,32722,8857,30.7,39.4,38.9,41.2,2.52,39.7,31.6,37.7,50,5.7,32.9,6.7,51.8,48,36.3,40.7,27.4,59.54079358,37.69505127,1.571555952,46.86360321,2.918781726
56,32,188.4,336.8,31734,14295,31.7,40.5,36.1,45.6,2.35,39.3,36.9,44.4,37.4,7.2,33.1,15.8,49.7,35.3,29.4,47.8,28.4,60.72247308,34.09517193,2.181312956,44.32593857,7.14920071
68,28,135.3,354.9,38783,13670,21.1,45.3,42.5,48,3.04,44.3,38.6,23.6,44.5,5.8,33.3,12.9,47.1,27.7,24.1,47.5,24.1,79.87492465,13.02742616,1.672694394,51.65816327,1.600365798
69,24,174.7,492.2,36459,11885,25.1,42.9,41.5,45.5,2.17,38.4,18.1,39,42.3,4.6,33.5,6.4,65.8,48,45.5,37.8,20.2,39.50680272,58.04421769,0.68877551,47.70510614,1.886792453
28,10,164.7,375.5,33256,3456,22.2,57.1,55.5,58.7,2.44,49.4,1,24.1,36.3,14.8,33.6,4.6,62.3,37.6,30.7,44.3,13.1,96.42757466,0.669829752,0.418643595,53.13626532,0.689655172
77,27,159.8,421.7,38694,9706,24.6,51.9,48.9,56.7,2.15,49.7,20.3,37.7,30.2,11.3,33.9,14.3,61.6,39.5,34.1,49.5,24.3,49.70186963,48.1859525,0.212228398,51.86110417,6.423357664
81,38,199.9,423.1,35701,10368,19,50.4,50.6,50.2,2.73,49.5,21.1,44.6,44.8,7.7,33.9,12.1,47.7,50,18.6,51.5,24.8,90.24904215,8.783524904,0.172413793,51.19894598,5.158324821
51,24,171.2,355.4,39615,13522,23.6,36.9,36.3,39.6,2.59,43.8,20.9,39.9,36.7,5.6,34.3,12.6,54.9,42.3,36.4,39.2,23.3,72.04331517,25.81215939,0.375115012,52.53588517,6.247604446
50,23,259.5,570.6,25768,7259,36.2,41.8,40.6,42.6,2.45,49.7,9.2,53.9,38.5,5.6,34.4,9.7,39.3,50,23.9,57.4,40.2,98.81559014,0.3580774,0.192810908,45.30500343,5.395462906
186,95,142.1,269.9,32366,71474,33.1,33.4,32.3,34.4,3.67,34.8,25.8,39.1,33.4,6.9,34.5,18.2,31.5,24.7,22.4,50.8,38.8,23.2405302,0.612833453,1.056513782,40.00103778,6.518302323
134,69,235.4,447.8,34419,22151,22.8,42.8,41.5,44.2,2.48,55.7,23.3,33.7,46,4.5,34.6,10.1,54.6,38.3,36.7,49.9,28.7,97.72588122,0.782821657,0.126825855,54.03848244,6.018614271
20,10,166.8,325.4,37294,3307,18.7,54.1,53.5,55.6,2.65,55,48.6,14.2,28.6,16,34.9,12,46.3,40,21.7,49,22.9,98.1227652,0.178784267,0.41716329,56.37254902,11.23809524
21,8,142.8,361.2,29147,4371,25.8,41.6,40.9,41.9,3.28,33.7,16.8,37.7,40.2,7.8,35,1.2,60.6,38.7,34.5,50.5,20.2,84.15819708,1.568714096,8.837825895,41.44295302,3.558718861
288,110,166.2,454.3,41385,46692,19.1,43.5,40.5,49,2.21,49.8,33,38.5,39.2,9.4,35.1,9.2,58.5,50,31.6,47.6,27.1,87.99162554,5.236172531,2.093614476,51.786807,5.417177079
50,29,217.6,382.4,28006,9650,39.3,40.6,37.9,44.7,2.34,34.4,13.9,44.4,39.5,5.5,35.2,17.3,39.9,29,24,53.7,34.7,42.7252659,56.41180012,0.491671684,38.91816921,12.36017897
58,19,154.5,495.8,26504,8479,33.2,42.4,41.2,45.1,2.7,30.9,22.3,29.9,38.9,7.8,35.2,20.4,44.7,46.2,23.8,54.1,32.2,17.7877429,80.6599977,1.983523004,31.3027179,7.343412527
81,31,221.5,554.7,29421,12808,30.2,41,39.9,41.7,2.57,52.6,13.1,44,37.8,3.9,35.3,12.2,44.6,32.9,29.4,53,35.9,99.84590492,0.084752292,1.983523004,53.18254604,5.955168953
60,26,165.3,403,39030,14065,21.5,35.1,31.7,43.5,2.32,43.3,40.8,35.5,36.8,7.8,35.3,5.7,57.4,42.3,38.1,37.4,18.7,74.12198295,18.73825697,2.919497037,50.32759039,8.393501805
92,42,177,408.2,36377,10349,17.5,56.6,56.5,56.7,2.08,60.5,20.6,38.1,39.9,9,35.3,12.2,66.6,48,26.4,55.6,18.7,97.53554502,0.274881517,0.123222749,55.38892222,2.960526316
177,80,223,493.5,24868,27337,33.5,41.1,39.2,42.5,2.44,46.6,20.6,46.4,35.6,5,35.4,11.6,39.7,26.6,24.4,57.6,39.6,95.00536673,3.209302326,0.032200358,42.08152958,3.381417714
49,23,197.6,400.8,25530,9433,39.9,38.7,35.6,44.3,2.58,30,15.8,29.9,39.4,10,35.5,22.6,47.9,31,28.1,47.8,30.1,24.6696483,73.80565156,1.32140679,30.93245666,8.631578947
121,54,216.4,482,34010,25229,28.2,36.2,35.3,38.5,2.46,43.4,46.4,27.2,38,6.9,35.5,7.9,57.2,42,35.2,37.2,20.8,61.03865307,28.98980318,6.61607778,50.55837563,8.461219411
18,7,153.9,405.8,27512,3141,37.3,40.3,37.5,43.4,2.57,38.4,43.3,40.2,44.8,2.7,35.6,19.2,35.2,22.2,19.6,51.9,34.2,31.79768041,61.05025773,0.193298969,33.8123415,14.87889273
70,30,230.7,555.6,27403,9652,46.9,36.3,35.3,38.5,2.7,27.8,11.1,37.1,38.6,7.2,35.6,11.2,48.9,35.2,28.7,48.4,30.2,30.63359235,68.03148037,0.159394302,30.20289855,4.552845528
32,12,153.8,463.2,51022,4042,13.9,52.1,51.5,53.1,2.31,53.5,37.2,20.8,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,92.96158612,0.123915737,1.983523004,53.37995338,0.535475234
1269,557,184.3,452.5,36383,141058,20.1,55.4,54.4,56.1,2.25,54.6,24.1,42.3,38.2,11.1,35.8,13.1,57.6,31.6,24.7,54.3,24.4,93.29127701,2.992395492,0.279977659,51.06536419,3.923080412
105,56,175.8,325.8,32083,22776,23.2,45.5,43.1,47.9,2.37,51.6,11.8,39.5,34.4,6.7,35.9,10.6,51,36.8,33.8,50.3,33,95.57608788,2.669675551,0.272502768,51.54628257,6.462372316
63,27,202,482.7,43067,8306,15.4,49,45.5,52.2,2.19,46.9,19.7,59,39,10.3,36,7.6,70.1,46.9,41.6,40.9,16.6,91.64484647,6.189002618,0.226136634,49.65944272,2.598366741
88,37,207.6,484.4,37961,9259,15.7,54.6,54.3,54.9,2.27,51.5,32.3,26.3,41.9,6.8,36.1,16,60.8,32.9,27.5,53.1,21,97.05350495,0.361663653,0.34038932,49.21375921,3.263086336
182,65,196,521.6,47227,53221,15.9,26.8,25,29.7,2.84,45,4.8,45.2,31.3,15.8,36.1,12.7,72.3,54.5,16.3,27.6,12.9,74.81990158,12.15687742,3.141664951,51.86264982,5.283078379
182,98,277.1,504.8,26351,27703,34.2,41,39.6,42.2,2.43,52.7,27.7,31.5,35.6,6.6,36.1,9.8,45.2,48,28.3,53.4,34,95.4084507,2.482394366,0.598591549,49.14080309,3.257989088
228,97,201.8,496.9,35002,23898,20.7,54.4,53.9,54.8,2.06,53.8,19.4,33.6,38.9,9.1,36.2,14.2,60.7,31.4,27,56,22.8,96.82566063,0.199434934,0.091407678,46.59100754,5.928954766
87,41,216.8,457.3,27709,15693,33.7,40.8,40.3,41,2.57,49.2,17.4,23.4,35.1,6.2,36.5,14.6,47.1,33.5,31.8,51,34,97.625,0.81875,0.06875,51.18649733,6.41509434
103,48,195.9,436.6,32121,16203,27.1,46.9,44.3,49.5,2.41,45.8,39.8,33.7,41,6.1,36.6,7.2,43.8,29.5,24.6,50.4,28.7,88.10515195,8.799950283,0.118078429,47.2318625,5.828779599
49,22,171.1,396,35387,6007,17.8,55.6,55.5,55.6,2.01,57,31.1,21.5,40.6,10.8,36.7,13.7,63.6,34.9,28.9,49.4,18.7,96.25277866,0.317561131,0.3651953,49.22178988,3.276955603
59,23,189.8,490.1,36886,8390,28.1,45.6,44.2,47.1,2.79,44.8,28.8,46.3,38.7,6,36.8,6.7,54.7,41.3,36.7,42.1,23.6,55.85850276,42.02609002,1.983523004,50.03309067,5.235294118
14,8,243.6,467.1,33789,1828,20.6,47.3,51.2,45.9,3.84,27.6,59.1,8.6,42.9,6.8,36.9,5.2,53.4,37.3,29.2,49.3,30.4,80.04950495,9.107977615,15.0990099,41.92307692,5.640305931
16,10,164.8,259.5,49947,6415,28,39.4,38.6,39.9,2.7,46.7,28.9,39.4,27.8,5.4,36.9,2,51.6,39.2,32.2,36.9,22.7,84.94539782,4.96099844,6.131045242,56.26631854,1.260504202
1962.667684,9,121.8,453.5494221,52001,6634,18.5,41.3,39.5,44.1,2.29,44.8,38,28.9,35.4,7.5,36.9,9.5,59.9,43.8,38.1,34.7,19.1,86.35822672,4.819994049,2.915798869,51.4162266,14.62113127
129,54,126.1,332,32533,20152,22.8,54.8,54.8,54.9,2.14,54.1,26.3,40.4,36.6,6.4,37,11.2,50.3,23.7,20.9,62.2,31.3,73.92672732,0.196705188,8.984509466,46.56700481,4.686489981
33,12,162.8,488.6,30760,6479,38.5,38.2,36.5,41.3,2.13,33.6,36.1,46.1,38.6,6,37.1,7.7,45.2,34.4,30.9,42.4,25.4,33.94976113,61.2883341,3.25165665,35.62091503,7.258753202
45,21,209.9,463.1,32705,8518,28.9,38.4,37.4,41.2,2.4,43.2,7.8,29.4,36.6,9.8,37.1,9.4,61.3,48,41.2,39,18.8,81.55946321,10.89773253,1.353540028,52.58746356,2.328431373
88,40,261,561.4,29090,13352,26.8,39.8,39.2,40.5,2.39,59.2,23,32.5,43.4,4.3,37.3,12.3,44.8,33.6,32,47.5,32.9,99.69304485,0.044920267,1.983523004,55.49945907,6.838709677
126,54,187,444.1,34733,21673,25.3,41.1,39.3,41.8,2.62,45.8,29.8,42.2,44.7,8,37.3,20.7,52.4,37.8,32.6,43.4,26.7,55.43052617,42.2289238,0.045010577,45.69355222,6.012145749
110,48,239.7,554.1,22640,18340,44,33.5,31,36.6,2.82,25.1,13.8,40,36.9,8.5,37.5,19.2,34.9,27.6,23.8,52.6,38.7,16.54059237,82.55913062,1.983523004,26.46417445,5.501407841
769,335,161.6,413.7,35787,99491,19.5,52.1,50.2,54,2.39,54,33,34,36.3,10.7,37.6,13.3,53.2,27.8,21.6,54.6,25.3,83.03941909,9.559840534,3.765966968,51.71176077,5.119076848
34,19,208.1,380.1,38071,8663,25.6,36.4,34.5,40.2,2.81,43,37.1,40.7,36.7,7.8,37.6,14.6,51.7,39,30.8,36.6,22.6,77.320759,18.13430292,3.033746165,54.47252306,7.845659164
209,85,224.6,560.5,26048,31730,34.9,39.2,37.8,40.7,2.5,47.5,20,45.2,40.7,5.5,37.8,15.7,40.3,30.2,27.6,55.5,38.7,97.27435631,1.156905278,0.028293879,45.63246972,4.863950374
120,57,198.5,425.5,36374,22493,23.4,41.2,39.2,44.5,2.44,43.5,33.1,32.9,39.2,5.4,37.8,9,60.6,42.2,36.9,41.6,20.6,75.03195944,21.50319594,0.806700463,48.84944116,8.854568855
302,101,164.6,472.7,39984,70699,26.3,35,36.8,30.5,2.37,38.5,9.3,19.8,35.8,13.1,37.8,4.4,69.8,57.1,50.6,25.7,12.8,73.29294678,22.69580268,1.370258185,43.43727339,3.854536397
68,35,179.4,365.2,33707,9201,22.1,53.5,53.2,53.8,2.25,58.3,21.7,41.4,42.7,6.5,37.9,12.6,50.7,25.9,20.6,53.2,24.8,96.74343867,0.171397965,0.224959829,54.73812424,1.330671989
107,73,224.2,330.5,31429,24742,26.6,42.8,40.3,46.2,2.52,49.8,21.4,22.9,33.6,7.6,37.9,12,52.5,35.4,30.3,48.8,26.3,93.93398397,3.824486233,0.535586765,51.50873478,6.208251473
24,13,222.3,431,32773,4070,28.3,44.4,41.8,49.3,2.45,42.5,28.1,40.7,37.1,3.9,38,14.1,50.1,31.8,19.8,46.5,23,59.89884393,30.39499037,4.359344894,47.13990351,7.088989442
156,67,226.5,527.4,28574,23123,30.1,41.6,41,42.8,2.44,55.2,24.7,28.5,36.1,7.1,38,12.6,47,33.1,30.9,52.3,34.6,98.33974061,0.190106037,0.147860251,52.30400334,5.618408437
41,19,161.1,358.2,39992,7582,22.4,47.7,46.8,49.5,2.39,48.2,46,24.7,31.2,11.5,38,12.2,50.6,33.3,27,52,28.4,76.05854679,0.261369577,1.071615264,47.82468579,4.978354978
67,50,191.5,259.6,35651,19324,26.7,42.1,40,45.1,2.6,48.4,28,34.5,36.9,7.3,38.1,15.4,47.8,33.9,25.4,45,26.2,89.05016552,6.987522282,0.621339445,53.30990041,5.39241858
163,76,240.8,507,29839,25292,28.1,41.7,40.4,42.7,2.38,55.6,17.2,47.3,41,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,96.08962246,1.415294435,0.327792989,52.14865363,2.796024928
257,114,248.2,550.3,30127,37756,31.1,40.5,38.8,42.3,2.45,50.1,16.2,40,34.7,6,38.1,9.7,46.2,48,29.8,53,34.6,97.94820047,0.804677999,0.049160392,48.28122973,4.732510288
87,38,232.3,522.1,28647,13484,33,40.7,39.4,42.9,2.41,48.7,19.9,39.5,34.3,5.1,38.1,12.4,37.7,50,25.3,58.1,40.6,97.65285851,0.485615481,0.014715621,44.95813615,6.230133503
31,11,160.8,439.8,48368,4445,14.9,56.4,58.5,55,2.15,64.8,36.8,21.3,18.7,21.9,38.2,14,51.9,24.4,19.3,52,24.2,93.98094353,3.137346038,0.162677202,58.16633267,5.851979346
139,58,207.4,493.2,30313,27387,34.6,35.8,35.3,36.9,2.82,34.4,26.3,40.2,36.2,9,38.2,19.8,41.7,32.2,27.2,48.8,33.5,38.44362438,57.51854108,2.429149798,34.75935829,5.055775459
126,63,230.1,463.6,29227,27005,34.8,34.1,32.8,35.7,2.81,29.3,23.3,29.5,28.3,9.5,38.2,20.1,42.3,32.6,28.1,45.9,32.2,25.78553259,73.0393035,0.24721436,33.19228961,6.248990796
126,48,191.1,488.7,36390,21498,23.4,40.8,38.4,43.5,2.52,51.7,18.2,50.6,51.3,4,38.2,8.5,60.4,44.4,39.2,43.7,24.3,94.15435441,4.313113701,0.27530513,57.421981,3.724928367
33,16,175.3,366,37590,6415,20.6,44.3,42,48.1,2.27,45.9,25.7,49.4,45,8.6,38.2,11.6,59.5,50,34.4,50.6,26.2,80.4384746,8.53790335,0.432298904,48.67480017,5.95959596
40,24,254.5,432.5,26204,7486,36.2,38.5,36.7,40.2,2.49,36,10.7,36.6,29.1,9.5,38.3,25.3,33.8,24,22.1,52.6,37.1,28.93956964,70.24867929,0.296353563,33.11496888,6.153846154
142,60,185.4,431.6,41419,27254,22.4,38.8,37.2,44.5,2.55,40.8,21.9,40.3,29.1,9.4,38.3,11.5,50.4,35,30.8,51.9,31.8,76.464661,2.886137901,4.167266446,42.03821656,9.278553175
154,68,213.7,480.3,35321,25707,25.3,39.8,37.6,42.8,2.59,41.1,29.4,43.5,44.4,5.7,38.3,18.7,53.5,48,35.5,45.3,28.9,56.16120062,41.85807336,0.20188169,44.23715234,4.627249357
74,34,214.9,460.3,29430,13632,34.1,40.5,40.1,42.7,2.62,34.5,43.7,25.1,37.8,5.3,38.3,18.7,49.2,50,30,40.8,22.4,36.81737273,59.49448202,0.825916696,37.7028181,6.381381381
139,69,246.4,507.4,34271,23175,25.6,40.9,40.5,41.6,2.53,57.1,20.6,32.3,37.3,5.5,38.4,9.1,48.8,36.8,33,51.8,34,97.86723769,0.415417559,0.209850107,56.85666851,5.022573363
43,21,211.8,434,41363,9067,20.7,35.5,32.3,42.9,2.45,45.9,41.7,32.3,33.4,8.5,38.4,5.5,63.6,48,38,29.9,13,80.43407133,10.97175264,5.376813175,56.62913186,2.90368272
73,24,148.2,429,53679,15385,24,40.4,40.5,39.9,3.04,36.1,10.1,20.8,33.7,14.8,38.5,8.5,68.3,51.9,47.7,32,18,52.90301654,45.71521246,0.253000324,54.43620557,6.799830004
119,52,233,532.1,32427,17338,25.1,41,40.2,42.1,2.25,41.5,19.2,45.2,45.3,6.1,38.6,7.9,49.5,35.5,30.5,48.8,29.5,79.58742968,17.33818264,0.636472126,40.52689699,5.670985089
62,24,154.2,419.3,45308,9383,15.5,48.7,45.5,52,2.43,48.2,26.9,51.4,43.2,13.1,38.7,10.8,65.8,42.9,38.3,43.5,18.6,85.74292951,7.735331363,0.105529759,51.75792507,2.429149798
61,24,164.7,439.7,41304,8496,16.6,50.2,47.5,51.9,2.05,55.4,29,32,34,12.1,38.7,7.3,62,50,30,45.1,19.1,94.04205607,0.163551402,0.759345794,54.5504386,6.401766004
1366,561,149.8,412.7,43242,173115,11.9,57.3,56.2,58,2.26,55.8,23.5,37.8,34.9,13.1,38.8,10.8,61.1,32.6,25.2,51,20.1,90.49902584,5.606123668,0.573038249,53.69071476,4.954881717
20,10,250,527.2,29477,2302,29.5,49.2,46.8,52.2,2.29,40.2,11.8,53.9,40.7,6.3,38.9,11.2,48.8,26.7,24.7,53.6,27.8,49.61306965,49.22613929,1.983523004,38.52216749,8.61618799
49,24,219.7,437.7,27596,9122,32.5,36.8,35.6,42.9,2.6,34.4,28.5,40.8,36.1,10,39,9.7,42.3,32.7,27.9,48.2,32,28.87105404,70.65810594,0.470840021,36.05484575,2.790178571
239,91,184.5,446.1,47018,75503,14.8,30.6,29.1,32.3,2.86,50.4,11.5,45.6,30.3,10.5,39,9.5,77.7,52,27.4,26.9,10.6,71.52033417,15.15211223,2.614018495,57.96875716,6.044769217
113,51,178.9,424,32975,16771,22,47.1,46.4,47.8,2.44,53.3,18.8,43,42.7,8.3,39.2,11.2,50.1,32,26.7,48.8,26,95.24761793,0.888130808,0.876367486,50.67597034,4.153846154
82,29,175.2,489.6,45773,12762,15.9,43.2,41.2,46.3,2.48,50.2,24.3,28.5,31.4,11.4,39.2,10.3,66.7,47.4,40.1,41.9,20.4,88.79881518,8.862732871,0.101332918,54.75380077,4.476930105
47,19,123.4,319.3,42174,12687,18.6,40.1,38,44.5,2.48,43.9,20.1,49.7,48.9,9,39.2,6.8,70.3,53.2,44,36.5,17.4,85.50305117,9.724612737,0.430292599,54.87220447,2.755102041
60,31,190.2,389.4,31025,9409,22.3,50.7,50.7,50.8,2.22,59.1,29.4,36.3,44.2,7.5,39.3,12.6,51.6,28.9,25.2,52.1,27,96.49785048,0.167767642,0.450875537,52.49232223,5.784615385
165,76,234.6,511.5,26439,30999,40.1,32.9,31.1,34.7,2.76,27.4,17.1,33.6,33.8,11.5,39.3,16.3,38.9,30.5,26.6,49,35.6,25.39662394,72.17921056,0.964589415,28.93569845,4.749478079
203,80,189.6,487.8,32782,35509,28.9,39.1,36.8,40.9,2.59,38.9,20.9,31,34,10.1,39.3,15.5,47.7,33.6,28,48.3,32.2,46.05365691,38.45318936,1.185572749,40.22006771,6.79431748
102,45,151.6,341,40680,32874,24.9,35.3,34.9,36.3,2.85,39.9,25.6,40.9,33.1,6.3,39.3,7,52.1,39.5,35.3,35.8,23.1,82.20704859,8.720413975,6.797513702,47.26089934,8.618283322
