YEAR,ADLT_MOR,ALCO,HEPT-B,BMI,POLIO,TOT_EXPD,DIPTR,HIV/AIDS,POPLN,THIN_1_19,THIN_5_9,ICOR,SCH,LIFE_EXP
2004,652,4.9,91,32.2,96,5.56,96,28.4,182933,1.5,1.4,0.58,11.8,48.1
2006,496,8.5,83,44.3,79,7.57,82,28.1,4823384.48,1.6,12.8,0.609,12.9,54
2008,592,2.75,88,28.8,86,8.85,88,27.3,199993,8,7.8,0.447,10.7,47.8
2006,7,4.57,68,27.9,71,5.12,7,26.8,13124267,8.6,8.6,0.408,9.5,45.4
2002,459,7.04,72,41.6,7,8.9,7,26.6,45855482.88,14.5,17.1,0.62,12.9,54.9
2007,486,8.48,83,45,79,7.53,82,26.4,48883844.99,9.7,11.7,0.612,12.9,54.5
2002,67,1.1,64,14.8,79,4.82,64,24.7,1213711,7.7,7.6,0.388,10.4,44
2003,613,1.08,84,15.2,85,6.35,84,24.2,12336687,7.6,7.5,0.362,10.3,44.6
2001,429,7.38,72,4.9,71,8.31,71,24,45312937,15.4,18.1,0.629,13,56
2007,67,3.88,72,28.2,73,4.47,73,23.7,1332999,8.2,8.2,0.414,9.6,46.6
2008,473,8.19,76,45.7,77,7.75,79,23.5,49557573.3,8.9,1.7,0.616,12.9,55.3
2004,615,1.11,89,15.5,94,7.82,89,23.4,1267638,7.5,7.4,0.366,10,45.1
2005,66,1.04,93,15.9,94,8.2,93,22.4,1339711,7.4,7.2,0.371,9.7,46
2010,459,4.93,89,29.7,89,8.47,89,21.6,122843,5.4,5.6,0.523,11,53.6
2000,397,7.3,73,4.1,71,8.7,73,21.3,44896856,16.3,19.1,0.635,13,57.3
2006,587,1.18,99,16.2,99,8.99,99,21.1,13429262,7.3,7.1,0.377,9.6,47.1
2005,566,6.37,92,32.7,96,5.62,96,20.6,1855852,1,9.9,0.593,11.9,51.7
2008,632,3.56,75,28.6,75,4.96,75,20.5,13558469,7.8,7.8,0.421,9.7,48.2
2007,559,1.18,87,16.6,88,9.31,87,19.3,1384969,7.1,7,0.387,9.7,48.5
2009,449,7.6,74,46.4,75,8.39,76,19,5255813.11,8.1,9.8,0.622,12.8,56.5
2009,566,2.75,91,29.2,89,9.8,91,18.2,21929,7.6,7.4,0.453,10.8,49.4
2009,587,4.64,73,29,69,6.26,73,18.1,1381599,7.5,7.4,0.419,9.9,50
2005,554,2.33,82,18.4,84,7.56,82,17,1252156,7.1,7,0.467,10.7,49.3
2008,525,1.27,91,16.9,92,1.7,91,16.9,14271234,7,6.9,0.4,9.6,50
2006,434,1.2,75,18.9,73,6.51,78,16.3,21547463,3.8,3.7,0.353,7.9,51.2
2005,434,1.23,75,18.5,71,6.87,8,16.2,29237,3.9,3.8,0.341,7.3,58
2006,526,2.25,81,18.8,83,6.11,81,15.9,12383446,7,6.9,0.479,10.9,58
2004,429,1.54,76,18.1,69,5.91,83,15.9,231275,3.9,3.8,0.332,7,54
2002,437,1.66,84,15.1,83,4.54,84,15.7,332149,8.9,8.9,0.451,8.5,52.1
2010,527,5.21,9,29.4,89,5.37,89,15.7,1486317,7.1,7,0.436,10,52.4
2011,438,5.2,91,3.2,85,8.61,91,15.7,1225258,5.1,5.2,0.526,11.2,55
2003,424,1.68,76,17.7,67,6.39,85,15.3,19716598,4,3.9,0.318,6.7,51
2009,491,1.16,93,17.3,93,1.18,93,14.9,1471462,6.9,6.8,0.415,9.9,51.5
2003,437,1.49,73,15.5,75,4.45,73,14.5,3413852,8.8,8.8,0.45,8.2,52.4
2002,416,2.16,76,17.3,76,6.45,76,14.5,19139658,4,4,0.311,6.2,49.8
2006,491,6.45,93,33.2,96,4.93,96,14.4,1884238,9.6,9.4,0.61,11.9,54.8
2007,425,1.03,75,19.3,75,5.25,75,14.1,22188387,3.8,3.7,0.36,8.2,52.1
2010,462,1.08,93,17.6,86,1.5,93,13.7,1516795,6.8,6.7,0.43,10.2,52.9
2007,487,2.08,8,19.2,77,4.37,8,13.6,12725974,6.9,6.8,0.492,11.1,52.6
2001,48,2.09,25,16.9,72,5.64,73,13.4,18588758,4.1,4,0.298,5.8,49.5
2010,527,2.71,93,29.7,92,1.87,93,13.4,24551,7.2,7,0.464,10.9,51.1
2007,436,6.21,93,33.7,96,4.71,96,13.4,1914414,9.2,9,0.63,12.1,56.9
2011,464,6,94,29.9,93,6.31,93,13.3,14386649,6.8,6.7,0.452,10.1,54.9
2004,432,1.43,73,15.9,73,4.29,73,13.2,3574931,8.7,8.6,0.461,8.9,53
2008,427,6.56,94,34.2,96,5.55,96,12.7,1946351,8.8,8.6,0.646,12.1,57.5
2008,45,1.48,75,19.7,74,4.91,75,12.6,22846758,3.7,3.7,0.372,8.8,53.2
2012,412,0.01,95,3.7,92,8.76,95,12.2,1248158,4.8,4.9,0.534,11.3,56.5
2008,45,2.12,87,19.7,9,4.87,87,11.9,1382517,6.8,6.7,0.504,11.4,55.7
2005,412,1.82,76,16.4,7,4.36,76,11.6,3648288,8.6,8.5,0.474,9.6,54.1
2009,4,1.18,74,2.1,74,5.43,74,11.3,2352463,3.7,3.6,0.382,9.2,53.8
2011,441,1.23,97,18,97,11.67,97,11.2,15627618,6.7,6.6,0.444,10.6,54.1
2010,428,7.28,71,47.2,72,8.5,72,11,5979432.36,7.3,8.9,0.63,12.8,58
2005,37,7.72,28,3.8,44,2.76,45,10.9,143126,7.2,7.1,0.64,12.4,65
2010,47,0.96,74,2.5,73,5.38,74,10.8,2422145,3.7,3.6,0.39,9.3,54
2006,288,8.01,52,31.4,44,2.88,45,10.7,1444844,7.1,6.9,0.646,12.4,61.4
2011,52,2.39,96,3.2,95,11.79,96,10.5,264166,6.8,6.6,0.469,11,52.3
2006,388,1.76,8,16.9,77,4.24,8,10.3,37525,8.5,8.4,0.483,9.7,55.3
2002,523,10.42,29,13.6,57,7.78,57,10,2571848,6.8,6.8,0.404,11,48.8
2007,291,9.02,75,31.9,78,2.86,81,10,1489193,6.9,6.8,0.645,12.4,61.6
2013,393,0.01,98,31.2,98,9.66,98,9.8,1271456,4.5,4.6,0.539,11.4,57.6
2011,47,0.94,76,2.9,73,6.23,76,9.6,249395,3.7,3.6,0.397,9.5,54.3
2013,518,0.01,93,31.4,9,11.7,93,9.6,2117361,6.1,5.9,0.484,11.1,52.1
2003,53,10.16,44,13.9,57,7.54,59,9.4,2662482,6.7,6.7,0.418,11.5,51
2014,522,0.01,93,32,9,1.62,93,9.4,2145785,5.8,5.6,0.491,10.8,52.1
2007,356,1.97,81,17.3,76,4.8,81,9.1,388599,8.4,8.3,0.494,10.1,56.8
2009,368,2.3,94,2.2,93,4.73,94,9.1,13456417,6.7,6.6,0.518,11.6,57.4
2012,513,0.01,95,3.8,93,11.14,95,9,289928,6.4,6.2,0.479,11,52.2
2009,393,5.01,94,34.7,96,6.39,96,9,1979882,8.4,8.2,0.661,12.2,59.2
2008,298,8.75,82,32.4,81,2.54,82,8.9,1536411,6.8,6.6,0.651,12.4,61.6
2004,485,9.89,62,14.2,58,8.9,62,8.9,27568436,6.6,6.6,0.427,11.6,51.3
2012,429,6.09,97,3.3,95,6.69,95,8.8,1471826,6.5,6.4,0.464,9.8,56.6
2005,446,10.09,64,14.5,59,9.36,64,8.7,2854394,6.5,6.5,0.429,10.9,53.2
2006,41,9.81,64,14.8,62,9.86,64,8.6,2955662,6.4,6.4,0.434,10.6,54.9
2011,413,7.38,76,47.9,69,8.61,69,8.5,51729345.36,6.6,8,0.638,12.8,58.9
2007,41,9.65,73,15.2,7,9.76,73,8.4,359487,6.3,6.3,0.442,10.3,55.5
2012,42,0.01,96,18.4,95,12.6,96,8.3,169735,6.6,6.5,0.454,10.7,55.3
2008,41,9.79,71,15.6,69,9.1,71,8.2,31663896,6.2,6.2,0.453,10.6,56.3
2003,48,6.66,96,14.5,96,6.34,96,8.1,868346,7,7.3,0.359,7.6,52
2009,378,9.63,79,15.9,78,8.43,79,8.1,32771895,6.1,6.1,0.464,10.8,57.5
2002,415,7.82,88,14.1,85,4.18,88,8,853625,7.2,7.4,0.343,7.2,57
2009,31,8.64,79,33,74,3.43,76,8,1586754,6.7,6.5,0.652,12.4,61.7
2010,362,10.03,8,16.3,79,11.2,8,8,33915133,6,6,0.473,10.9,58.4
2004,397,6.75,89,14.9,89,6.24,89,7.7,8818438,6.9,7.1,0.371,8.2,53.4
2012,48,7.38,68,48.7,65,8.79,65,7.6,5256515.8,6,7.3,0.644,12.8,59.2
2005,4,5.03,79,23.3,79,4.75,8,7.4,1742795,6.9,7,0.456,8.3,52.8
2009,453,1.56,42,19.8,45,3.58,42,7.3,44423,9.1,9.1,0.345,6.4,48.6
2014,382,0.01,98,31.8,98,9.25,98,7.3,129597,4.3,4.3,0.541,11.4,58.4
2006,394,5.22,81,23.8,78,4.69,81,7.2,17899562,6.7,6.8,0.456,8.2,53.3
2005,37,7.01,95,15.4,95,6.83,95,7.1,8991735,6.8,7,0.388,8.8,55.3
2007,395,5.44,82,24.4,81,4.76,82,7,18395389,6.6,6.6,0.456,8,53.6
2010,294,8.85,67,33.5,68,3.41,67,7,16421,6.5,6.4,0.66,12.5,62.3
2012,48,1.19,76,21.3,73,5.58,76,6.9,2567666,3.6,3.5,0.4,9.2,54.8
2013,399,6.39,95,3.8,95,6.88,95,6.8,155456,6.2,6,0.488,10.4,58
2011,347,10.22,82,16.7,82,9.9,82,6.8,3593648,5.9,5.9,0.477,10.7,59.3
2010,363,2.47,83,2.7,8,4.41,83,6.8,138533,6.7,6.5,0.533,11.8,58
2008,382,5.9,84,24.9,82,5.18,84,6.7,18978,6.4,6.5,0.466,8.8,54.2
2010,446,1.67,45,2.2,46,3.9,45,6.6,4448525,9,8.9,0.352,6.6,49.2
2008,339,1.71,88,17.9,88,3.9,88,6.4,39148416,8.3,8.2,0.506,10.4,57.9
2009,373,5.89,8,25.4,79,5.7,8,6.3,19432541,6.3,6.3,0.473,9.2,54.8
2014,371,6.5,91,31.3,92,6.44,91,6.3,15411675,5.9,5.7,0.498,10.3,59.2
2013,394,0.01,89,18.8,89,1.96,89,6.3,16577147,6.5,6.4,0.459,10.7,56.7
2011,366,2.57,81,21.2,83,4.26,81,6.3,14264756,6.6,6.4,0.543,12,58.2
2006,328,6.88,99,15.9,99,1.2,99,6.2,92658,6.8,6.8,0.404,9.3,57.6
2010,349,5.99,95,35.2,96,5.64,95,6.2,214866,8,7.8,0.669,12.3,61.1
2010,299,7.58,83,31.8,83,7.89,83,6.2,217317,1.4,1.4,0.604,11.4,63
2009,288,2.55,8,22.5,78,6.81,8,6,1517448,8.3,8.1,0.401,8.9,56.3
2011,289,8.9,75,34.1,75,3.12,75,6,169711,6.4,6.3,0.664,12.5,62.8
2010,287,3.21,83,23.1,82,6.7,83,5.9,155588,8,7.9,0.405,8.9,56.7
2011,443,1.66,47,2.7,47,3.73,47,5.8,4476153,8.8,8.8,0.361,6.8,49.8
2011,289,3.57,86,23.7,85,5.46,86,5.7,1596154,7.8,7.7,0.41,9,57.1
2012,349,2.59,78,21.7,7,4.91,78,5.6,14699937,6.5,6.3,0.554,12.3,59.2
2010,37,6.15,84,26,83,5.28,84,5.5,1997495,6.1,6.2,0.48,9.7,55.3
2011,325,5.76,95,35.7,96,5.25,95,5.5,251339,7.7,7.4,0.678,12.4,62.2
2005,4,9.71,18,19.3,45,4.11,36,5.4,138939478,12.9,12.9,0.463,8.9,49.2
2012,285,0.01,87,24.3,87,5.96,87,5.3,1638139,7.7,7.5,0.416,9.1,57.6
2006,396,9.66,27,19.9,46,3.66,4,5.3,14261494,12.6,12.6,0.466,9,49.8
2007,388,9.55,42,2.4,54,4.47,42,5.2,14641724,12.3,12.3,0.477,9.1,55
2013,46,1.16,78,21.8,78,5.9,78,5.1,26434372,3.6,3.5,0.405,9.1,55.3
2012,439,0.01,47,21.2,47,3.62,47,5.1,449416,8.7,8.6,0.366,7.1,53
2013,451,0.01,23,21.6,23,3.82,23,5.1,4499653,8.5,8.5,0.37,7.1,49.9
2014,377,0.01,91,19.2,87,11.38,91,5.1,1768838,6.5,6.3,0.466,10.7,57.6
2009,317,1.86,88,18.4,89,4.17,88,5,423724,8.2,8.1,0.514,10.7,59.1
2007,295,6.78,97,16.5,98,8.49,97,5,944742,6.8,6.7,0.424,10.1,59.6
2008,386,9.3,41,21,6,4,53,5,1534739,12,11.9,0.481,9.2,59
2009,376,9.05,63,21.6,66,4.24,63,4.9,15442181,11.7,11.6,0.487,9.3,51.6
2011,371,6.19,82,26.6,8,3.96,82,4.9,252447,6,6,0.486,10,55.6
2012,276,8.3,82,34.6,8,3.13,82,4.9,1756817,6.3,6.2,0.669,12.5,63.5
2004,378,5.72,83,13.8,76,7.1,83,4.8,7182451,8.4,8.4,0.279,5.2,52.6
2013,328,2.41,79,22.3,74,4.99,79,4.8,1515321,6.4,6.2,0.565,12.5,63
2008,344,1.33,24,2.4,8,5.73,81,4.8,6161796,7.7,7.6,0.441,10.1,56.2
2010,374,8.9,49,22.2,54,3.47,54,4.8,158578261,11.3,11.2,0.492,9.5,52
2011,268,7.84,82,32.5,85,8.78,82,4.7,2215621,9.9,9.9,0.612,11.5,64.3
2008,394,0.45,17,16.4,3,2.92,19,4.7,11133861,9.8,9.7,0.338,6,49.6
2011,375,8.75,46,22.8,48,3.69,48,4.7,16287776,11,1.9,0.5,9.6,52.3
2012,369,0.01,85,27.2,85,4.34,85,4.6,2182383,5.9,5.9,0.496,10.4,55.9
2012,339,0.01,78,17.2,82,7.58,78,4.6,3636796,5.8,5.8,0.477,10,60
2013,279,0.01,87,25,87,6.14,87,4.5,1681495,7.5,7.3,0.415,9.1,58.1
2014,437,0.01,47,22.1,47,4.2,47,4.5,4515392,8.4,8.3,0.345,7.1,58
2013,371,7.34,7,49.5,73,8.78,73,4.5,53311955.61,5.4,6.5,0.652,12.8,69
2009,37,0.47,24,16.7,32,3.31,24,4.4,1152786,9.6,9.5,0.343,6.3,57
2012,3,0.01,95,36.2,96,6.27,95,4.4,289315,7.3,7,0.687,12.5,63.4
2014,32,0.01,2,24,24,3.8,2,4.4,1129424,8.5,8.4,0.582,9.2,57.9
2012,374,8.54,42,23.5,42,3.3,42,4.4,167297284,1.7,1.6,0.507,9.7,52.7
2005,369,5.54,87,14.1,82,9.84,87,4.3,7423289,8.2,8.3,0.286,5.6,53.4
2010,294,1.73,9,18.9,9,3.97,9,4.3,4135152,8.2,8,0.523,11.1,63
2009,336,1.24,78,2.9,78,6.64,78,4.3,633472,7.5,7.4,0.442,10.6,56.7
2014,314,0.01,86,22.8,78,4.99,86,4.3,1562974,6.3,6.2,0.57,12.5,61.1
2010,364,0.5,39,17.1,43,2.95,39,4.1,1188722,9.4,9.3,0.36,6.7,51.2
2014,375,0.01,79,22.2,79,6.98,79,4.1,27212382,3.6,3.5,0.409,9.1,56.7
2013,364,0.01,89,27.8,88,4.29,89,4,21655715,5.8,5.8,0.501,10.4,56.4
2013,325,0.01,78,17.6,82,7.47,78,4,37553726,5.7,5.7,0.478,10,67
2011,365,0.56,33,17.5,4,3.17,33,3.9,12288651,9.2,9.1,0.37,6.7,51.6
2013,367,8.3,46,24.1,46,3.7,46,3.9,17182933,1.4,1.2,0.514,9.8,53.2
2014,362,0.01,49,24.7,49,3.67,49,3.9,1764652,1.1,9.9,0.521,10,53.6
2006,361,4.5,92,14.5,88,11.49,92,3.8,7675338,8.1,8.2,0.29,5.9,54.1
2010,323,1.21,83,21.4,83,5.37,83,3.8,652952,7.3,7.2,0.449,11,57.4
2008,282,6.39,97,17.1,97,7.66,97,3.7,978169,6.7,6.6,0.438,10.4,68
2014,366,0.01,87,28.4,86,4.1,87,3.7,2223994,5.7,5.7,0.507,10.4,56.7
2013,255,8.86,79,35.2,77,3.98,79,3.7,1817271,6.2,6.1,0.678,12.5,64.6
2012,232,0.01,84,33.3,84,8.24,84,3.7,2263934,9.5,9.4,0.619,11.5,65.8
2014,347,7.38,8,5.3,77,8.8,77,3.7,54146734.74,4.9,5.9,0.66,13,62
2012,367,0.62,4,17.9,51,3,4,3.6,1275135,9,8.9,0.381,7.3,51.8
2002,31,1.6,8,2.7,8,3.7,78,3.5,19924522,8.8,8.8,0.484,7.6,57.6
2007,296,0.45,25,3.9,88,7.72,88,3.5,8942,5.8,5.7,0.416,4.5,59.8
2007,355,4.54,99,14.8,93,1.3,99,3.4,7939573,8,8,0.309,7.2,54.8
2003,38,1.53,8,21.2,8,3.12,8,3.4,2446782,8.6,8.5,0.489,7.9,57.9
2014,282,0.01,87,25.6,87,5.59,87,3.4,1725744,7.3,7.1,0.419,9.2,58.4
2011,278,1.8,96,19.5,97,5.23,96,3.4,42486839,8.1,7.9,0.53,11.1,61.2
2008,289,0.49,88,31.3,89,8.5,89,3.3,822934,5.7,5.6,0.427,5,62
2014,38,0.01,78,18.1,82,7.22,78,3.2,38833338,5.7,5.6,0.483,10,61.5
2004,34,1.46,8,21.8,81,3.96,8,3.2,2986536,8.4,8.3,0.491,7.7,58.3
2009,279,0.49,89,31.7,89,8.37,89,3.2,83684,5.7,5.6,0.436,5.3,69
2013,366,0.64,39,18.2,46,3.42,39,3.1,13133589,8.8,8.7,0.387,7.3,52.2
2005,296,1.5,84,22.4,85,4.51,84,3.1,215429,8.1,8.1,0.499,8.1,58.9
2010,273,0.44,88,32.2,88,8.84,88,3.1,851146,5.6,5.6,0.441,5.5,61.3
2012,263,1.81,94,2.1,94,5.49,94,3,43646629,8,7.8,0.536,11.1,62.1
2013,258,1.84,93,2.7,94,5.57,87,3,44826849,7.9,7.7,0.541,11.1,62.6
2014,362,0.01,37,18.7,44,3.62,37,2.9,13569438,8.7,8.5,0.39,7.3,52.6
2008,35,4.33,92,15.2,89,7.86,92,2.9,8212264,7.9,7.9,0.319,7.9,55.3
2006,288,1.7,84,23,84,4.64,84,2.9,22113425,7.9,7.9,0.51,8.7,59.4
2014,255,0.01,92,21.3,93,5.72,92,2.9,462425,7.8,7.7,0.546,11.1,62.9
2013,286,0.01,95,36.8,96,5.84,95,2.8,212857,7,6.7,0.693,12.6,64.2
2009,288,7.11,97,17.7,93,7.2,97,2.8,9977446,6.6,6.4,0.447,10.2,61
2007,39,1.06,47,14.5,61,4.69,5,2.8,8149,11.3,11,0.362,7.1,58.5
2014,237,0.01,7,35.8,68,3.44,7,2.8,1875713,6.1,6,0.687,12.6,65.5
2011,268,0.39,87,32.7,87,8.71,87,2.7,865937,5.6,5.5,0.451,5.9,61.8
2007,28,1.25,94,23.6,94,5.3,94,2.6,227212,7.7,7.6,0.519,9.1,59.9
2011,34,1.44,85,22,85,5.21,85,2.6,6679282,7.1,7,0.457,11.5,58.3
2007,375,6.35,73,18.8,75,3.38,73,2.6,2997687,9.6,9.6,0.454,7.7,48.2
2008,371,7.07,69,19.3,65,3.84,69,2.6,2175942,9.5,9.4,0.468,8.1,48.7
2012,358,8.24,75,21.5,75,3.3,75,2.6,259615,8.8,8.6,0.508,10.3,56
2000,176,6.58,68,43.1,71,5.9,78,2.5,8562622,3.8,3.7,0.651,12.2,72
2010,365,7.8,77,2.4,81,3.39,77,2.5,23369131,9.1,9,0.488,9,49.6
2009,369,7.01,61,19.8,63,4.37,6,2.5,22549547,9.3,9.2,0.48,8.5,49.1
2011,361,8.06,72,21,73,3.38,71,2.5,24218565,8.9,8.8,0.495,9.4,51
2001,188,6.13,66,44.1,71,5.59,72,2.5,8697126,3.8,3.6,0.656,12.3,71.2
2013,232,0.01,89,34.1,89,8.53,89,2.5,231652,9,8.9,0.625,11.6,66.1
2007,36,0.19,57,19.4,46,3.8,63,2.4,196727,8.9,8.8,0.364,7.6,56.4
2009,338,4.05,94,15.7,96,6.96,94,2.4,848931,7.8,7.8,0.336,8.6,56.2
2002,189,6.43,63,45.1,74,5.79,82,2.4,8832285,3.7,3.6,0.66,12.3,71.4
2008,289,1.13,52,14.9,63,4.28,54,2.4,83184892,11.2,1.9,0.378,7.6,59.8
2008,281,3.88,64,23.4,79,11.83,75,2.4,3662993,7.7,7.6,0.394,9.8,58.6
2002,244,7.73,91,37.1,93,5.84,91,2.3,751884,5.9,5.7,0.609,11,65.3
2008,33,0.21,57,19.8,59,3.21,6,2.3,1323142,8.6,8.6,0.371,7.9,56.8
2009,297,0.18,57,2.3,6,3.85,57,2.3,1556524,8.4,8.4,0.376,8.1,57.3
2013,355,8.1,77,22.1,67,4.26,77,2.3,2599834,8.6,8.5,0.523,11.4,51.1
2010,26,7.92,97,18.3,93,7.91,97,2.3,1246842,6.5,6.3,0.454,10,62.8
2003,166,3.48,36,44.5,99,4.56,96,2.3,2712511,1.9,1.8,0.694,11.9,73.1
2004,165,3.67,98,45.4,97,4.8,98,2.3,2728777,1.9,1.8,0.689,11.1,73.3
2003,22,6.32,79,46.1,65,5.53,79,2.3,896776,3.6,3.5,0.665,12.4,73
2014,268,0.01,95,37.3,96,5.41,95,2.3,2168573,6.7,6.4,0.697,12.6,65.1
2003,299,0.54,79,17,67,6.25,63,2.2,125128,1.3,1.2,0.318,5.2,52
2010,291,0.2,64,2.8,62,4.55,64,2.2,179417,8.2,8.2,0.38,8.3,57.8
2007,45,3.86,63,2.2,63,1.12,64,2.2,615417,8.9,8.9,0.357,8.2,45.3
2008,275,1.78,93,24.2,92,4.85,93,2.2,2329864,7.5,7.4,0.53,9.8,63
2014,242,0.01,88,34.9,88,8.93,88,2.2,237992,8.6,8.5,0.632,11.7,65.9
2009,277,3.75,64,24,84,14.39,81,2.1,3811528,7.6,7.4,0.4,9.7,59.2
2005,285,1.13,7,2.5,73,4.73,7,2.1,7982225,8.7,8.6,0.43,8.5,56.5
2003,285,1.35,73,19.7,75,4.63,73,2.1,752555,9.1,9,0.416,7.7,55.8
2004,285,1.15,75,2.1,74,4.56,72,2.1,7754,8.9,8.8,0.423,8.1,56.1
2003,237,7.93,9,37.8,91,5.97,9,2.1,751857,5.8,5.6,0.611,11.1,65.3
2014,252,0.38,78,34.4,78,1.57,78,2.1,912164,5.6,5.4,0.467,6.3,63
2009,271,1.76,94,24.9,94,5.17,94,2.1,2393831,7.3,7.2,0.542,10.4,66
2002,283,1.23,15,19.2,76,4.27,75,2.1,7295394,9.3,9.2,0.407,7.3,55.6
2004,214,5.16,82,47.2,66,4.28,79,2.1,912998,3.6,3.5,0.666,12.5,69.3
2013,256,0.53,82,33.8,82,9.14,82,2.1,896688,5.6,5.4,0.464,6.3,62.7
2007,283,1.12,82,21.5,82,4.55,82,2,8454791,8.3,8.2,0.438,8.9,57.1
2014,348,8.33,64,22.7,68,3.31,64,2,2692466,8.5,8.3,0.527,11.4,51.7
2011,29,0.22,63,21.2,63,4.73,63,2,113517,8,8,0.385,8.4,58.1
2009,274,1.17,56,15.3,65,4.41,58,2,85416253,11.1,1.8,0.393,8.1,68
2004,296,0.49,73,17.5,7,6.28,69,2,1239196,1.1,1,0.333,5.5,52.8
2006,32,4.73,76,14.6,94,6.58,86,2,13829177,1,9.6,0.325,4.7,54.3
2002,192,5.12,5,35.2,96,5,96,2,1277837,6.5,7,0.721,11.9,69.2
2006,284,1.19,74,21,76,4.75,74,2,8216896,8.5,8.4,0.434,8.7,56.8
2005,28,5.71,87,48.2,86,4.26,87,2,9237566,3.5,3.4,0.668,12.6,69.7
2004,237,7.84,91,38.4,91,5.73,91,1.9,751652,5.8,5.6,0.613,11.2,65.1
2012,288,0.01,62,21.7,63,5.39,62,1.9,11281469,7.8,7.8,0.396,8.5,58.4
2008,441,3.91,77,2.7,75,1.29,77,1.9,6165372,8.7,8.7,0.367,8.3,46.2
2005,161,3.59,99,46.3,99,4.7,99,1.9,2744673,1.9,1.7,0.706,12.4,73.5
2010,33,4.16,96,16.1,94,8.82,96,1.9,876693,7.7,7.7,0.361,9.3,56.8
2005,29,0.55,83,18,78,6.34,77,1.9,12798763,9.9,9.7,0.338,5.8,53.6
2010,267,1.69,94,25.5,94,5.33,94,1.9,2451214,7.1,7,0.547,10.5,69
2012,263,0.52,81,33.2,81,8.95,81,1.9,881185,5.6,5.5,0.46,6.3,62.2
2007,232,7.2,94,4.3,94,6.45,94,1.9,747869,5.7,5.5,0.62,11.2,65.7
2008,278,1.28,75,22,77,4.2,75,1.8,8696916,8.1,8,0.444,9.1,57.6
2005,238,7.35,93,39,93,5.83,93,1.8,75946,5.7,5.5,0.619,11.4,65
2010,272,3.64,47,24.5,71,11.87,7,1.8,3948125,7.4,7.2,0.403,9.6,59.7
2006,288,0.53,9,18.5,79,6.56,78,1.8,1322764,9.7,9.5,0.35,6.1,54.3
2006,178,6.2,84,49.3,88,4.34,89,1.8,9371338,3.5,3.4,0.677,12.6,72.3
2001,247,6.71,85,36.4,9,5.82,85,1.7,752263,5.9,5.7,0.606,10.9,65.4
2000,174,2.61,93,38.8,88,6.63,94,1.7,6524283,2.8,2.7,0.551,9.8,71
